section,req_number,requirement
,1,The system shall meet the performance thresholds defined in this
section under all specified operational load conditions.,1.1,The system shall process a standard search query and return results within 1.5 seconds at the 95th percentile under nominal load.
section under all specified operational load conditions.,1.1.1,Nominal load is defined as up to 200 concurrent active users submitting queries at a rate not exceeding 10 queries per second per user.
section under all specified operational load conditions.,1.1.1.1,The 95th percentile response time measurement shall be collected using distributed tracing instrumentation on the application server.
section under all specified operational load conditions.,1.1.1.1.1,Distributed tracing shall use the OpenTelemetry standard and export to the organisation's approved observability platform.
section under all specified operational load conditions.,1.1.1.1.1.1,The OpenTelemetry exporter configuration shall support runtime update without requiring a service restart.
section under all specified operational load conditions.,1.2,The system shall sustain a throughput of at least 500 transactions per second for bulk data import operations.
section under all specified operational load conditions.,1.2.1,Throughput measurement shall be performed using the standard load test suite defined in the project test plan.
section under all specified operational load conditions.,1.2.1.1,The load test suite shall simulate realistic data payloads drawn from the production data sample set.
section under all specified operational load conditions.,1.2.1.1.1,Production data samples used in load testing shall be anonymised in accordance with the organisation's data handling policy.
section under all specified operational load conditions.,1.2.1.1.1.1,Anonymisation shall replace all personally identifiable fields with synthetic data generated by the approved data masking tool.
section under all specified operational load conditions.,1.3,The system shall recover from a single application server failure and resume processing within 60 seconds without data loss.
section under all specified operational load conditions.,1.3.1,Recovery shall be verified by the automated failover test in the CI pipeline before each production deployment.
section under all specified operational load conditions.,1.3.1.1,The automated failover test shall simulate failure by sending a SIGKILL signal to a randomly selected application server instance.
section under all specified operational load conditions.,2,The system shall implement security controls that meet the requirements of ISO/IEC 27001:2022 and the organisation's information security policy.
section under all specified operational load conditions.,2.1,The system shall encrypt all data in transit using TLS 1.3 or higher.
section under all specified operational load conditions.,2.1.1,TLS certificate management shall be automated using the organisation's PKI certificate authority.
section under all specified operational load conditions.,2.1.1.1,Certificates shall be renewed automatically at least 30 days before expiry using an ACME-compliant renewal agent.
section under all specified operational load conditions.,2.1.1.1.1,The renewal agent shall send an alert to the security team if automatic renewal fails more than 5 days before certificate expiry.
section under all specified operational load conditions.,2.1.1.1.1.1,The alert shall be delivered via the organisation's monitoring platform and shall trigger a Priority 1 incident ticket.
section under all specified operational load conditions.,2.2,The system shall encrypt all data at rest using AES-256 with keys managed by the organisation's key management service.
section under all specified operational load conditions.,2.2.1,Key rotation shall occur automatically on a 365-day cycle or immediately following a suspected key compromise event.
section under all specified operational load conditions.,2.2.1.1,"The key management service shall maintain an audit log of all key creation, rotation, and deletion events."
section under all specified operational load conditions.,2.2.1.1.1,"The audit log shall be stored in a write-once, append-only storage system to prevent tampering."
section under all specified operational load conditions.,2.2.1.1.1.1,Write-once storage shall be implemented using the S3 Object Lock feature with Compliance mode and a 7-year retention period.
section under all specified operational load conditions.,2.3,"The system shall implement role-based access control (RBAC) with a minimum of four roles: Viewer, Editor, Approver, and Administrator."
section under all specified operational load conditions.,2.3.1,Role assignments shall be managed exclusively through the identity provider and shall not be editable within the application.
section under all specified operational load conditions.,2.3.1.1,The application shall re-read role assignments from the identity provider at each session establishment.
section under all specified operational load conditions.,3,The system shall meet usability requirements as validated by a representative sample of end users during acceptance testing.
section under all specified operational load conditions.,3.1,The system shall conform to WCAG 2.1 Level AA accessibility standards for all web-based interfaces.
section under all specified operational load conditions.,3.1.1,Accessibility conformance shall be verified using an automated accessibility scanning tool as part of the CI pipeline.
section under all specified operational load conditions.,3.1.1.1,The CI accessibility scan shall flag any new WCAG 2.1 Level AA violation as a build failure.
section under all specified operational load conditions.,3.1.1.1.1,Exceptions to the build failure rule may be approved by the accessibility lead and recorded in the exception register.
section under all specified operational load conditions.,3.1.1.1.1.1,"Each exception entry shall include: the violated criterion, the justification, the approving authority, and an expected resolution date."
section under all specified operational load conditions.,3.2,The system shall allow a first-time user to complete the standard onboarding workflow without external assistance within 15 minutes.
section under all specified operational load conditions.,3.2.1,"The onboarding workflow is defined as: account creation, first login, completion of the guided project setup wizard, and creation of the first requirement artefact."
section under all specified operational load conditions.,3.2.1.1,"The guided project setup wizard shall consist of no more than 5 steps, each displayed on a dedicated screen."
section under all specified operational load conditions.,3.2.1.1.1,Each wizard step shall display contextual help text and a link to the relevant section of the user documentation.
section under all specified operational load conditions.,3.2.1.1.1.1,User documentation links in the wizard shall be validated automatically in the CI pipeline to detect broken links before each release.
section under all specified operational load conditions.,4,The system shall provide integration interfaces supporting data exchange with IBM Engineering Lifecycle Management tools.
section under all specified operational load conditions.,4.1,The system shall expose an OSLC Requirements Management 2.0 compliant API for integration with external tools.
section under all specified operational load conditions.,4.1.1,"The OSLC API shall support creation, retrieval, update, and deletion of requirement resources."
section under all specified operational load conditions.,4.1.1.1,OSLC resource creation shall return an HTTP 201 Created response with the new resource URL in the Location header.
section under all specified operational load conditions.,4.1.1.1.1,The Location header URL shall be stable and shall not change if the resource is subsequently moved within the project hierarchy.
section under all specified operational load conditions.,4.1.1.1.1.1,Resource URL stability shall be maintained through a redirect mechanism if an internal ID change is required due to module restructuring.
section under all specified operational load conditions.,4.2,The system shall support import and export of requirements in ReqIF 1.0.1 format.
section under all specified operational load conditions.,4.2.1,The ReqIF export shall include all custom attribute definitions and their enumeration value sets.
section under all specified operational load conditions.,4.2.1.1,Enumeration value sets shall be exported as ReqIF DATATYPE-DEFINITION-ENUMERATION elements.
section under all specified operational load conditions.,4.2.1.1.1,The export shall preserve the display order of enumeration values as configured in the project type system.
section under all specified operational load conditions.,4.2.1.1.1.1,"If the importing tool does not support ordered enumerations, the system shall log a compatibility warning in the export report."
section under all specified operational load conditions.,4.3,"The system shall provide webhook notifications for requirement creation, modification, and deletion events."
section under all specified operational load conditions.,4.3.1,Webhook payloads shall be delivered within 5 seconds of the triggering event under normal system load.
section under all specified operational load conditions.,4.3.1.1,Failed webhook deliveries shall be retried using exponential backoff with a maximum of 5 retry attempts.
section under all specified operational load conditions.,4.3.1.1.1,"After 5 failed attempts, the webhook endpoint shall be automatically disabled and the project administrator notified."
section under all specified operational load conditions.,4.3.1.1.1.1,"The administrator notification shall include the webhook URL, the failure count, and the last HTTP error code received."
section under all specified operational load conditions.,5,"The system shall implement data management policies ensuring durability, integrity, and recoverability of all requirements data."
section under all specified operational load conditions.,5.1,The system shall perform automated database backups at a minimum frequency of once every 24 hours.
section under all specified operational load conditions.,5.1.1,Each backup shall be verified by an automated restore test to a separate test environment within 4 hours of completion.
section under all specified operational load conditions.,5.1.1.1,"The restore test shall verify that all requirement records, traceability links, and baseline snapshots are present and consistent."
section under all specified operational load conditions.,5.1.1.1.1,Consistency verification shall include a checksum comparison between the source database and the restored copy.
section under all specified operational load conditions.,5.1.1.1.1.1,"If the checksum comparison fails, the backup shall be marked as invalid and a new backup shall be triggered immediately."
section under all specified operational load conditions.,5.2,The system shall maintain a full audit trail of all data modifications for a minimum retention period of 7 years.
section under all specified operational load conditions.,5.2.1,The audit trail shall be immutable — no user or administrator shall be able to delete or modify audit entries.
section under all specified operational load conditions.,5.2.1.1,"Immutability shall be enforced at the storage layer, not solely through application-level access controls."
section under all specified operational load conditions.,5.2.1.1.1,The storage layer immutability mechanism shall be validated by an annual penetration test.
section under all specified operational load conditions.,5.2.1.1.1.1,Penetration test findings related to audit trail integrity shall be classified as Critical severity and remediated within 30 days.
section under all specified operational load conditions.,5.3,The system shall detect and alert on data integrity violations such as orphaned traceability links or missing parent artefacts.
section under all specified operational load conditions.,5.3.1,Integrity checks shall run automatically every 6 hours and after every bulk import operation.
section under all specified operational load conditions.,5.3.1.1,"Each integrity check run shall produce a report listing all violations found, their severity, and recommended corrective action."
section under all specified operational load conditions.,6,"The system shall be deployable on-premise and on major cloud platforms including AWS, Azure, and Google Cloud Platform."
section under all specified operational load conditions.,6.1,The system shall be packaged as OCI-compliant container images with all dependencies included.
section under all specified operational load conditions.,6.1.1,Container images shall be scanned for known vulnerabilities using an approved image scanning tool before each deployment.
section under all specified operational load conditions.,6.1.1.1,Images with Critical or High CVE severity findings shall not be deployed to production without an approved risk acceptance.
section under all specified operational load conditions.,6.1.1.1.1,Risk acceptances shall be documented in the security register and approved by the CISO or designated delegate.
section under all specified operational load conditions.,6.1.1.1.1.1,Each risk acceptance shall have a maximum validity period of 90 days after which it must be re-evaluated.
section under all specified operational load conditions.,6.2,The system shall support horizontal scaling by adding or removing application server instances without service interruption.
section under all specified operational load conditions.,6.2.1,Autoscaling policies shall be provided as Infrastructure-as-Code templates for Kubernetes HorizontalPodAutoscaler.
section under all specified operational load conditions.,6.2.1.1,The autoscaling configuration shall define scale-up and scale-down thresholds based on CPU utilisation and request queue depth.
section under all specified operational load conditions.,6.2.1.1.1,Scale-up shall trigger when CPU utilisation exceeds 70% or queue depth exceeds 1000 requests for more than 60 seconds.
section under all specified operational load conditions.,6.2.1.1.1.1,The autoscaling evaluation interval shall be configurable and shall default to 15 seconds.
section under all specified operational load conditions.,6.3,The system shall provide a health check endpoint that returns HTTP 200 when all critical subsystems are operational.
section under all specified operational load conditions.,6.3.1,"The health check shall verify connectivity to the database, the identity provider, and the key management service."
section under all specified operational load conditions.,6.3.1.1,Each subsystem check within the health endpoint shall complete within 500ms to avoid false negatives under load.
section under all specified operational load conditions.,6.3.1.1.1,"If a subsystem check times out, the health endpoint shall return HTTP"
section under all specified operational load conditions.,6.3.1.1.1.1,The HTTP 503 response body shall conform to the RFC 7807 Problem Details JSON format.
section under all specified operational load conditions.,7,"The system shall provide built-in reporting capabilities covering requirements coverage, traceability status, and change history."
section under all specified operational load conditions.,7.1,The system shall provide a Requirements Traceability Matrix (RTM) report exportable in CSV and PDF formats.
section under all specified operational load conditions.,7.1.1,The RTM shall include all requirements in the selected module and shall show linked test cases and their current execution status.
section under all specified operational load conditions.,7.1.1.1,Execution status shall reflect the most recent test run result at the time the report is generated.
section under all specified operational load conditions.,7.1.1.1.1,The report generation timestamp shall be included in the report header to allow assessment of result currency.
section under all specified operational load conditions.,7.1.1.1.1.1,Report timestamps shall use ISO 8601 format in UTC timezone.
section under all specified operational load conditions.,7.2,The system shall provide a change history report showing all modifications to requirements within a specified date range.
section under all specified operational load conditions.,7.2.1,"The change history report shall be filterable by requirement ID, modifying user, date range, and attribute changed."
section under all specified operational load conditions.,7.2.1.1,Filter combinations shall be applied using AND logic; OR filtering shall not be required.
section under all specified operational load conditions.,7.2.1.1.1,The user interface for the change history filter shall display the number of matching records before the report is generated.
section under all specified operational load conditions.,7.2.1.1.1.1,The record count preview shall update dynamically as the user adjusts filter parameters without requiring a full page reload.
section under all specified operational load conditions.,503,and include the name of the failing subsystem in the response body.
