section,req_number,requirement,Artifact Type,Section Name,parentBinding
,1,System Overview............................................1,Functional Requirement,System Overview............................................1,
,1.1,Scope and Purpose........................................1,Functional Requirement,Scope and Purpose........................................1,1
,1.2,System Context...........................................1,Functional Requirement,System Context...........................................1,1
,1.3,Definitions and Abbreviations............................1,Functional Requirement,Definitions and Abbreviations............................1,1
,2,Functional Requirements....................................1,Functional Requirement,Functional Requirements....................................1,
,2.1,User Interface...........................................1,Functional Requirement,User Interface...........................................1,2
,2.2,Business Logic...........................................1,Functional Requirement,Business Logic...........................................1,2
,2.3,Reporting................................................1,Functional Requirement,Reporting................................................1,2
,3,Data Requirements..........................................1,Functional Requirement,Data Requirements..........................................1,
,3.1,Data Storage.............................................1,Functional Requirement,Data Storage.............................................1,3
,3.2,Data Integrity...........................................1,Functional Requirement,Data Integrity...........................................1,3
Section 1 — System Overview,1,"The system shall provide an enterprise-grade platform for managing programme delivery, resource allocation, and stakeholder reporting across multiple concurrent projects.",Functional Requirement,"The system shall provide an enterprise-grade platform for managing programme delivery, resource allocation, and stakeholder reporting across multiple concurrent projects.",
Section 1 — System Overview,1.1,"The system shall serve as the single authoritative source of truth for all programme-level requirements, decisions, and delivery artefacts.",Functional Requirement,"The system shall serve as the single authoritative source of truth for all programme-level requirements, decisions, and delivery artefacts.",1
Section 1 — System Overview,1.1.1,The system shall be accessible to all authorised users within the enterprise network without requiring local software installation beyond a supported web browser.,Functional Requirement,The system shall be accessible to all authorised users within the enterprise network without requiring local software installation beyond a supported web browser.,1.1
Section 1 — System Overview,1.1.2,"The system shall support the following user roles and their associated permissions:
- Programme Manager
- Project Manager
- Business Analyst
- Read-Only Viewer",Functional Requirement,The system shall support the following user roles and their associated permissions:,1.1
Section 1 — System Overview,1.2,"The system shall integrate with the following enterprise systems via published APIs:
- Enterprise Resource Planning (ERP)
- Human Resources Information System (HRIS)
- Document Management System (DMS)",Functional Requirement,The system shall integrate with the following enterprise systems via published APIs:,1
Section 1 — System Overview,1.2.1,"Integration with the ERP system shall use the REST API documented in ERP-API-SPEC-v3.2, with OAuth 2.0 authentication.",Functional Requirement,"Integration with the ERP system shall use the REST API documented in ERP-API-SPEC-v3.2, with OAuth 2.0 authentication.",1.2
Section 1 — System Overview,1.2.2,The system shall synchronise user account data from HRIS on a scheduled basis no less frequently than every 4 hours during business hours.,Functional Requirement,The system shall synchronise user account data from HRIS on a scheduled basis no less frequently than every 4 hours during business hours.,1.2
Section 1 — System Overview,1.3,All abbreviations used in this document shall be defined in the Glossary at Annex A of the project's Document Management Plan.,Functional Requirement,All abbreviations used in this document shall be defined in the Glossary at Annex A of the project's Document Management Plan.,1
Section 1 — System Overview,1.3.1,"Where a term used in a requirement has a specific technical meaning that differs from its common English meaning, the technical definition shall take precedence and shall be referenced explicitly.",Functional Requirement,"Where a term used in a requirement has a specific technical meaning that differs from its common English meaning, the technical definition shall take precedence and shall be referenced explicitly.",1.3
Section 2 — Functional Requirements,1,The system shall implement all functional requirements described in this section as mandatory capabilities for the initial system release.,Functional Requirement,The system shall implement all functional requirements described in this section as mandatory capabilities for the initial system release.,
Section 2 — Functional Requirements,1.1,The user interface shall comply with WCAG 2.1 Level AA accessibility standards throughout all screens and user workflows.,Functional Requirement,The user interface shall comply with WCAG 2.1 Level AA accessibility standards throughout all screens and user workflows.,1
Section 2 — Functional Requirements,1.1.1,The interface shall support keyboard-only navigation for all primary user functions without requiring mouse interaction.,Functional Requirement,The interface shall support keyboard-only navigation for all primary user functions without requiring mouse interaction.,1.1
Section 2 — Functional Requirements,1.1.2,The interface shall be responsive and shall display correctly on screen widths from 1024px to 3840px without horizontal scrolling.,Functional Requirement,The interface shall be responsive and shall display correctly on screen widths from 1024px to 3840px without horizontal scrolling.,1.1
Section 2 — Functional Requirements,1.1.3,"The interface shall provide the following view modes for requirement lists:
- Flat list sorted by requirement number
- Hierarchical tree view
- Filter view (filter by status, owner, priority)
- Traceability matrix view",Functional Requirement,The interface shall provide the following view modes for requirement lists:,1.1
Section 2 — Functional Requirements,1.2,The system shall enforce all business rules defined in the Business Rules Register (BRR-2024-001) without exception.,Functional Requirement,The system shall enforce all business rules defined in the Business Rules Register (BRR-2024-001) without exception.,1
Section 2 — Functional Requirements,1.2.1,The system shall prevent a requirement from being set to status 'Approved' unless all mandatory attributes have been populated.,Functional Requirement,The system shall prevent a requirement from being set to status 'Approved' unless all mandatory attributes have been populated.,1.2
Section 2 — Functional Requirements,1.2.2,"Mandatory attributes for approval shall include:
- Title (non-empty string, max 200 characters)
- Description (non-empty string)
- Priority (one of: Critical, High, Medium, Low)
- Owner (a valid user account)
- Verification Method (one of: Test, Inspection, Analysis, Demonstration)",Functional Requirement,Mandatory attributes for approval shall include:,1.2
Section 2 — Functional Requirements,1.2.3,"The system shall generate an audit log entry for every state transition of a requirement, recording the user, timestamp, previous state, new state, and an optional comment.",Functional Requirement,"The system shall generate an audit log entry for every state transition of a requirement, recording the user, timestamp, previous state, new state, and an optional comment.",1.2
Section 2 — Functional Requirements,1.3,The system shall provide a built-in reporting module with at minimum the standard reports defined in Annex B.,Functional Requirement,The system shall provide a built-in reporting module with at minimum the standard reports defined in Annex B.,1
Section 2 — Functional Requirements,1.3.1,"All reports shall be exportable in the following formats:
- PDF (using the organisation standard report template)
- Microsoft Excel (.xlsx)
- CSV (UTF-8 encoded)",Functional Requirement,All reports shall be exportable in the following formats:,1.3
Section 2 — Functional Requirements,1.3.2,Reports shall be generated on-demand and shall reflect the current live data at the moment the report is run.,Functional Requirement,Reports shall be generated on-demand and shall reflect the current live data at the moment the report is run.,1.3
Section 2 — Functional Requirements,1.3.3,The system shall support scheduled report generation with delivery by email to a configured distribution list.,Functional Requirement,The system shall support scheduled report generation with delivery by email to a configured distribution list.,1.3
Section 3 — Data Requirements,1,All data stored and processed by the system shall comply with the organisation's Data Classification Policy and applicable data protection legislation.,Functional Requirement,All data stored and processed by the system shall comply with the organisation's Data Classification Policy and applicable data protection legislation.,
Section 3 — Data Requirements,1.1,"All persistent data shall be stored in the organisation-approved relational database, which shall be hosted in the primary data centre.",Functional Requirement,"All persistent data shall be stored in the organisation-approved relational database, which shall be hosted in the primary data centre.",1
Section 3 — Data Requirements,1.1.1,The database shall be configured with daily full backups and continuous transaction log backups retained for a minimum of 90 days.,Functional Requirement,The database shall be configured with daily full backups and continuous transaction log backups retained for a minimum of 90 days.,1.1
Section 3 — Data Requirements,1.1.2,Data at rest shall be encrypted using AES-256 or stronger with key management performed by the enterprise key management service.,Functional Requirement,Data at rest shall be encrypted using AES-256 or stronger with key management performed by the enterprise key management service.,1.1
Section 3 — Data Requirements,1.2,"The system shall implement controls to ensure the integrity of all stored data including referential integrity, constraint validation, and audit trails.",Functional Requirement,"The system shall implement controls to ensure the integrity of all stored data including referential integrity, constraint validation, and audit trails.",1
Section 3 — Data Requirements,1.2.1,The system shall perform referential integrity checks before committing any transaction that modifies parent-child relationships between artefacts.,Functional Requirement,The system shall perform referential integrity checks before committing any transaction that modifies parent-child relationships between artefacts.,1.2
Section 3 — Data Requirements,1.2.2,"The system shall maintain an immutable audit trail for all modifications to requirements, links, and configuration settings.",Functional Requirement,"The system shall maintain an immutable audit trail for all modifications to requirements, links, and configuration settings.",1.2
Section 3 — Data Requirements,1.2.3,"The audit trail shall record the following for each event:
- Event type and timestamp
- User identity (username and display name)
- Source IP address
- Object identifier and type
- Previous and new values for changed attributes",Functional Requirement,The audit trail shall record the following for each event:,1.2
Annex A — Security Requirements,1,All security requirements in this annex are mandatory and shall be implemented prior to any production deployment of the system.,Functional Requirement,All security requirements in this annex are mandatory and shall be implemented prior to any production deployment of the system.,
Annex A — Security Requirements,1.1,The system shall implement multi-factor authentication (MFA) as the default and mandatory authentication method for all user accounts.,Functional Requirement,The system shall implement multi-factor authentication (MFA) as the default and mandatory authentication method for all user accounts.,1
Annex A — Security Requirements,1.1.1,"Supported second factors shall include at minimum:
- Time-based one-time password (TOTP) via authenticator app
- Hardware security key (FIDO2/WebAuthn)",Functional Requirement,Supported second factors shall include at minimum:,1.1
Annex A — Security Requirements,1.1.2,"The system shall enforce a minimum password complexity policy:
- Minimum 14 characters
- At least one uppercase, one lowercase, one digit, one special character
- Not matching any of the previous 24 passwords",Functional Requirement,The system shall enforce a minimum password complexity policy:,1.1
Annex A — Security Requirements,1.1.3,Service accounts shall use certificate-based authentication and shall not be permitted to use password-based authentication.,Functional Requirement,Service accounts shall use certificate-based authentication and shall not be permitted to use password-based authentication.,1.1
Annex A — Security Requirements,1.2,The system shall implement Role-Based Access Control (RBAC) with the principle of least privilege applied to all roles.,Functional Requirement,The system shall implement Role-Based Access Control (RBAC) with the principle of least privilege applied to all roles.,1
Annex A — Security Requirements,1.2.1,Role assignments shall be reviewed by the system administrator no less than every 90 days and any inactive accounts shall be disabled.,Functional Requirement,Role assignments shall be reviewed by the system administrator no less than every 90 days and any inactive accounts shall be disabled.,1.2
Annex A — Security Requirements,1.2.2,Access to sensitive data classifications shall require explicit role assignment and shall not be inherited from parent roles.,Functional Requirement,Access to sensitive data classifications shall require explicit role assignment and shall not be inherited from parent roles.,1.2
Annex A — Security Requirements,1.3,All cryptographic operations shall use algorithms and key lengths approved in the organisation's Cryptographic Standards document (SEC-STD-003).,Functional Requirement,All cryptographic operations shall use algorithms and key lengths approved in the organisation's Cryptographic Standards document (SEC-STD-003).,1
Annex A — Security Requirements,1.3.1,"Deprecated algorithms (MD5, SHA-1, DES, 3DES, RC4) shall not be used in any new system component.",Functional Requirement,"Deprecated algorithms (MD5, SHA-1, DES, 3DES, RC4) shall not be used in any new system component.",1.3
Annex A — Security Requirements,1.3.2,TLS 1.3 shall be the minimum version for all external connections; TLS 1.2 is permitted for internal connections pending legacy system migration.,Functional Requirement,TLS 1.3 shall be the minimum version for all external connections; TLS 1.2 is permitted for internal connections pending legacy system migration.,1.3
Annex A — Security Requirements,1.4,The system shall be subject to regular security assessments as part of the organisation's vulnerability management programme.,Functional Requirement,The system shall be subject to regular security assessments as part of the organisation's vulnerability management programme.,1
Annex A — Security Requirements,1.4.1,The system shall undergo a full penetration test prior to initial production deployment and annually thereafter.,Functional Requirement,The system shall undergo a full penetration test prior to initial production deployment and annually thereafter.,1.4
Annex A — Security Requirements,1.4.2,"Critical and High severity findings from penetration tests and vulnerability scans shall be remediated within the following timeframes:
- Critical — within 7 calendar days of identification
- High — within 30 calendar days of identification
- Medium — within 90 calendar days of identification",Functional Requirement,Critical and High severity findings from penetration tests and vulnerability scans shall be remediated within the following timeframes:,1.4
Annex B — Performance Requirements,1,The performance requirements in this annex define the measurable service levels that the system shall achieve under normal and peak load conditions.,Functional Requirement,The performance requirements in this annex define the measurable service levels that the system shall achieve under normal and peak load conditions.,
Annex B — Performance Requirements,1.1,The system shall meet the following response time requirements under normal load conditions (defined as up to 200 concurrent active users).,Functional Requirement,The system shall meet the following response time requirements under normal load conditions (defined as up to 200 concurrent active users).,1
Annex B — Performance Requirements,1.1.1,Page load time for all primary user interface screens shall not exceed 2 seconds at the 95th percentile.,Functional Requirement,Page load time for all primary user interface screens shall not exceed 2 seconds at the 95th percentile.,1.1
Annex B — Performance Requirements,1.1.2,API responses for read operations shall complete within 500ms at the 95th percentile and within 2 seconds at the 99th percentile.,Functional Requirement,API responses for read operations shall complete within 500ms at the 95th percentile and within 2 seconds at the 99th percentile.,1.1
Annex B — Performance Requirements,1.1.3,"Report generation for standard reports covering up to 10,000 requirements shall complete within 30 seconds.",Functional Requirement,"Report generation for standard reports covering up to 10,000 requirements shall complete within 30 seconds.",1.1
Annex B — Performance Requirements,1.2,"The system shall support a minimum throughput of 1,000 requirement read/write operations per minute under normal load.",Functional Requirement,"The system shall support a minimum throughput of 1,000 requirement read/write operations per minute under normal load.",1
Annex B — Performance Requirements,1.2.1,"Batch import operations shall support ingestion of at least 5,000 requirements per hour without degradation of interactive user performance.",Functional Requirement,"Batch import operations shall support ingestion of at least 5,000 requirements per hour without degradation of interactive user performance.",1.2
Annex B — Performance Requirements,1.3,"The system shall achieve an availability of 99.5% measured over any rolling 30-day period, excluding planned maintenance windows.",Functional Requirement,"The system shall achieve an availability of 99.5% measured over any rolling 30-day period, excluding planned maintenance windows.",1
Annex B — Performance Requirements,1.3.1,"Planned maintenance windows shall not exceed 4 hours per calendar month and shall be scheduled outside core business hours (08:00–18:00 local time, Monday to Friday).",Functional Requirement,"Planned maintenance windows shall not exceed 4 hours per calendar month and shall be scheduled outside core business hours (08:00–18:00 local time, Monday to Friday).",1.3
Annex B — Performance Requirements,1.3.2,The system shall implement automatic failover to the secondary data centre within 15 minutes of a primary data centre failure being detected.,Functional Requirement,The system shall implement automatic failover to the secondary data centre within 15 minutes of a primary data centre failure being detected.,1.3
Annex B — Performance Requirements,1.4,The system architecture shall support horizontal scaling to accommodate growth in user numbers and data volumes without architectural rework.,Functional Requirement,The system architecture shall support horizontal scaling to accommodate growth in user numbers and data volumes without architectural rework.,1
Annex B — Performance Requirements,1.4.1,"The system shall scale to support at least 2,000 concurrent active users by adding application server capacity without database schema changes.",Functional Requirement,"The system shall scale to support at least 2,000 concurrent active users by adding application server capacity without database schema changes.",1.4
Annex B — Performance Requirements,1.4.2,"Data storage shall scale to accommodate a minimum of 1,000,000 requirement artefacts without performance degradation beyond the thresholds in 1.1.",Functional Requirement,"Data storage shall scale to accommodate a minimum of 1,000,000 requirement artefacts without performance degradation beyond the thresholds in 1.1.",1.4
